,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id,soc_delta,welltotank_kwh,tanktowheel_kwh,soc_delta_kwh,welltotank_emissions,tanktowheel_emissions,co2_emissions,n_vehicles_charging_system,n_vehicles_charging_users,n_vehicles_available,n_vehicles_booked,n_vehicles_dead
0,1,24.232994,2023-01-01 00:00:24.232994+00:00,2023-01-01,0,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 00:50:24.232994+00:00,0,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,4,0,0
1,2,0.90229,2023-01-01 00:00:25.135284+00:00,2023-01-01,0,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 00:50:25.135284+00:00,1,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,3,1,0
2,3,5.948958,2023-01-01 00:00:31.084242+00:00,2023-01-01,0,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 00:50:31.084242+00:00,2,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,2,2,0
3,0,5.860822,2023-01-01 00:00:36.945064+00:00,2023-01-01,0,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 00:50:36.945064+00:00,3,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,1,3,0
4,3,7.694358,2023-01-01 01:00:44.639422+00:00,2023-01-01,1,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 01:50:44.639422+00:00,4,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,4,0,0
5,2,18.537082,2023-01-01 01:01:03.176504+00:00,2023-01-01,1,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 01:51:03.176504+00:00,5,,,,,,,,0,0,3,1,0
6,1,1.709205,2023-01-01 01:01:04.885709+00:00,2023-01-01,1,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 01:51:04.885709+00:00,6,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,3,1,0
7,0,29.730402,2023-01-01 01:01:34.616111+00:00,2023-01-01,1,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 01:51:34.616111+00:00,7,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,2,2,0
8,3,39.138223,2023-01-01 02:01:13.754334+00:00,2023-01-01,2,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 02:51:13.754334+00:00,8,,,,,,,,0,0,4,0,0
9,2,13.88941,2023-01-01 02:01:27.643744+00:00,2023-01-01,2,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 02:51:27.643744+00:00,9,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,4,0,0
10,1,3.63006,2023-01-01 02:01:31.273804+00:00,2023-01-01,2,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 02:51:31.273804+00:00,10,,,,,,,,0,0,3,1,0
11,0,0.833159,2023-01-01 02:01:32.106963+00:00,2023-01-01,2,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 02:51:32.106963+00:00,11,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,3,1,0
12,2,9.209629,2023-01-01 03:00:41.316592+00:00,2023-01-01,3,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 03:50:41.316592+00:00,12,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,4,0,0
13,0,4.406035,2023-01-01 03:00:45.722627+00:00,2023-01-01,3,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 03:50:45.722627+00:00,13,,,,,,,,0,0,3,1,0
14,3,14.447876,2023-01-01 03:01:00.170503+00:00,2023-01-01,3,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 03:51:00.170503+00:00,14,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,3,1,0
15,1,10.509549,2023-01-01 03:01:10.680052+00:00,2023-01-01,3,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 03:51:10.680052+00:00,15,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,2,2,0
16,1,16.248568,2023-01-01 04:00:26.928620+00:00,2023-01-01,4,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 04:50:26.928620+00:00,16,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,4,0,0
17,2,23.977647,2023-01-01 04:00:50.906267+00:00,2023-01-01,4,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 04:50:50.906267+00:00,17,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,3,1,0
18,3,11.671571,2023-01-01 04:01:02.577838+00:00,2023-01-01,4,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 04:51:02.577838+00:00,18,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,2,2,0
19,0,0.660142,2023-01-01 04:01:03.237980+00:00,2023-01-01,4,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 04:51:03.237980+00:00,19,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,0,1,3,0
