,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id,soc_delta,welltotank_kwh,tanktowheel_kwh,soc_delta_kwh,welltotank_emissions,tanktowheel_emissions,co2_emissions,req_origin_id,req_destination_id,start_soc,plate,end_soc
0,1,24.232994,2023-01-01 00:00:24.232994+00:00,2023-01-01,0,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 00:50:24.232994+00:00,0,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,55.0,1,45.0
1,2,0.90229,2023-01-01 00:00:25.135284+00:00,2023-01-01,0,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 00:50:25.135284+00:00,1,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,87.0,2,77.0
2,3,5.948958,2023-01-01 00:00:31.084242+00:00,2023-01-01,0,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 00:50:31.084242+00:00,2,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,68.0,3,58.0
3,0,5.860822,2023-01-01 00:00:36.945064+00:00,2023-01-01,0,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 00:50:36.945064+00:00,3,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,91.0,0,81.0
4,3,7.694358,2023-01-01 01:00:44.639422+00:00,2023-01-01,1,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 01:50:44.639422+00:00,4,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,77.0,2,67.0
5,1,1.709205,2023-01-01 01:01:04.885709+00:00,2023-01-01,1,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 01:51:04.885709+00:00,6,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,81.0,0,71.0
6,0,29.730402,2023-01-01 01:01:34.616111+00:00,2023-01-01,1,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 01:51:34.616111+00:00,7,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,58.0,3,48.0
7,2,13.88941,2023-01-01 02:01:27.643744+00:00,2023-01-01,2,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 02:51:27.643744+00:00,9,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,100.0,1,90.0
8,0,0.833159,2023-01-01 02:01:32.106963+00:00,2023-01-01,2,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 02:51:32.106963+00:00,11,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,67.0,2,57.0
9,2,9.209629,2023-01-01 03:00:41.316592+00:00,2023-01-01,3,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 03:50:41.316592+00:00,12,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,71.0,0,61.0
10,3,14.447876,2023-01-01 03:01:00.170503+00:00,2023-01-01,3,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 03:51:00.170503+00:00,14,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,90.0,1,80.0
11,1,10.509549,2023-01-01 03:01:10.680052+00:00,2023-01-01,3,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 03:51:10.680052+00:00,15,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,100.0,3,90.0
12,1,16.248568,2023-01-01 04:00:26.928620+00:00,2023-01-01,4,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 04:50:26.928620+00:00,16,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,57.0,2,47.0
13,2,23.977647,2023-01-01 04:00:50.906267+00:00,2023-01-01,4,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 04:50:50.906267+00:00,17,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,90.0,3,80.0
14,3,11.671571,2023-01-01 04:01:02.577838+00:00,2023-01-01,4,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 04:51:02.577838+00:00,18,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,61.0,0,51.0
15,0,0.660142,2023-01-01 04:01:03.237980+00:00,2023-01-01,4,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 04:51:03.237980+00:00,19,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,80.0,1,70.0
16,3,7.137355,2023-01-01 05:00:10.375335+00:00,2023-01-01,5,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 05:50:10.375335+00:00,20,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,80.0,3,70.0
17,1,3.252806,2023-01-01 05:00:13.628141+00:00,2023-01-01,5,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 05:50:13.628141+00:00,21,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,70.0,1,60.0
18,0,23.013247,2023-01-01 05:00:37.452028+00:00,2023-01-01,5,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 05:50:37.452028+00:00,23,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,51.0,0,41.0
19,0,27.856169,2023-01-01 06:01:05.308197+00:00,2023-01-01,6,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 06:51:05.308197+00:00,24,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,70.0,3,60.0
20,2,10.962523,2023-01-01 06:01:36.910566+00:00,2023-01-01,6,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 06:51:36.910566+00:00,27,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,100.0,2,90.0
21,2,4.475036,2023-01-01 07:00:41.385602+00:00,2023-01-01,7,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 07:50:41.385602+00:00,28,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,60.0,1,50.0
22,1,8.160999,2023-01-01 07:01:08.339074+00:00,2023-01-01,7,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 07:51:08.339074+00:00,30,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,100.0,0,90.0
23,3,11.526137,2023-01-01 07:01:19.865211+00:00,2023-01-01,7,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 07:51:19.865211+00:00,31,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,90.0,2,80.0
24,0,5.277961,2023-01-01 08:00:25.143172+00:00,2023-01-01,8,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 08:50:25.143172+00:00,32,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,80.0,2,70.0
25,2,38.55945,2023-01-01 08:01:03.702622+00:00,2023-01-01,8,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 08:51:03.702622+00:00,33,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,90.0,0,80.0
26,3,6.331196,2023-01-01 08:01:10.033818+00:00,2023-01-01,8,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 08:51:10.033818+00:00,34,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,1,40.0
27,1,2.905476,2023-01-01 08:01:12.939294+00:00,2023-01-01,8,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 08:51:12.939294+00:00,35,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,60.0,3,50.0
28,3,6.603347,2023-01-01 09:00:19.542641+00:00,2023-01-01,9,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 09:50:19.542641+00:00,36,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,80.0,0,70.0
29,2,10.870327,2023-01-01 09:01:05.957986+00:00,2023-01-01,9,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 09:51:05.957986+00:00,38,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,50.0,3,40.0
30,1,2.857373,2023-01-01 09:01:08.815359+00:00,2023-01-01,9,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 09:51:08.815359+00:00,39,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,70.0,2,60.0
31,2,2.640896,2023-01-01 10:00:18.885692+00:00,2023-01-01,10,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 10:50:18.885692+00:00,41,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,60.0,2,50.0
32,0,20.000353,2023-01-01 10:00:38.886045+00:00,2023-01-01,10,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 10:50:38.886045+00:00,42,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,100.0,1,90.0
33,3,8.809139,2023-01-01 11:00:16.697256+00:00,2023-01-01,11,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 11:50:16.697256+00:00,44,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,100.0,3,90.0
34,0,6.332205,2023-01-01 11:00:24.910166+00:00,2023-01-01,11,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 11:50:24.910166+00:00,46,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,70.0,0,60.0
