,plate,start_time,date,hour,day_hour,start_soc,end_soc,soc_delta,soc_delta_kwh,duration,operator,zone_id,timeout_outward,timeout_return,cr_soc_delta,cr_soc_delta_kwh,end_time,cr_timeout
0,1,2023-01-01 00:50:24.232994+00:00,2023-01-01,0,2023-01-01 00:00:00+00:00,35.0,90.0,55.0,48.19732499999999,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-01 01:23:44.232994+00:00,857.1428571428573
1,3,2023-01-01 01:51:34.616111+00:00,2023-01-01,1,2023-01-01 01:00:00+00:00,33.0,85.0,52.0,45.56837999999999,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-01 02:24:54.616111+00:00,1285.714285714286
2,2,2023-01-01 04:50:26.928620+00:00,2023-01-01,4,2023-01-01 04:00:00+00:00,37.0,90.0,53.0,46.44469499999999,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-01 05:23:46.928620+00:00,857.1428571428573
3,0,2023-01-01 05:50:37.452028+00:00,2023-01-01,5,2023-01-01 05:00:00+00:00,26.0,85.0,59.0,51.702584999999985,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-01 06:23:57.452028+00:00,1285.714285714286
4,1,2023-01-01 08:51:10.033818+00:00,2023-01-01,8,2023-01-01 08:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-01 09:24:30.033818+00:00,1714.2857142857147
5,3,2023-01-01 09:51:05.957986+00:00,2023-01-01,9,2023-01-01 09:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-01 10:24:25.957986+00:00,428.57142857142867
6,2,2023-01-01 12:50:22.348865+00:00,2023-01-01,12,2023-01-01 12:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-01 13:23:42.348865+00:00,1714.2857142857147
7,0,2023-01-01 13:50:44.572060+00:00,2023-01-01,13,2023-01-01 13:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-01 14:24:04.572060+00:00,428.57142857142867
8,1,2023-01-01 16:51:51.413505+00:00,2023-01-01,16,2023-01-01 16:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-01 17:25:11.413505+00:00,857.1428571428573
9,3,2023-01-01 17:51:21.537986+00:00,2023-01-01,17,2023-01-01 17:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-01 18:24:41.537986+00:00,1285.714285714286
10,2,2023-01-01 20:50:35.245855+00:00,2023-01-01,20,2023-01-01 20:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-01 21:23:55.245855+00:00,857.1428571428573
11,0,2023-01-01 21:50:16.625546+00:00,2023-01-01,21,2023-01-01 21:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-01 22:23:36.625546+00:00,1285.714285714286
12,1,2023-01-02 00:50:57.581635+00:00,2023-01-02,0,2023-01-02 00:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-02 01:24:17.581635+00:00,1714.2857142857147
13,3,2023-01-02 01:51:14.519432+00:00,2023-01-02,1,2023-01-02 01:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-02 02:24:34.519432+00:00,428.57142857142867
14,2,2023-01-02 04:50:28.927279+00:00,2023-01-02,4,2023-01-02 04:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-02 05:23:48.927279+00:00,1714.2857142857147
15,0,2023-01-02 05:50:22.935708+00:00,2023-01-02,5,2023-01-02 05:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-02 06:23:42.935708+00:00,428.57142857142867
16,1,2023-01-02 08:50:59.943087+00:00,2023-01-02,8,2023-01-02 08:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-02 09:24:19.943087+00:00,857.1428571428573
17,3,2023-01-02 09:51:19.624960+00:00,2023-01-02,9,2023-01-02 09:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-02 10:24:39.624960+00:00,1285.714285714286
18,2,2023-01-02 12:50:43.807566+00:00,2023-01-02,12,2023-01-02 12:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-02 13:24:03.807566+00:00,857.1428571428573
19,0,2023-01-02 13:50:56.401086+00:00,2023-01-02,13,2023-01-02 13:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-02 14:24:16.401086+00:00,1285.714285714286
20,1,2023-01-02 16:51:08.330167+00:00,2023-01-02,16,2023-01-02 16:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-02 17:24:28.330167+00:00,1714.2857142857147
21,3,2023-01-02 17:51:47.242594+00:00,2023-01-02,17,2023-01-02 17:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-02 18:25:07.242594+00:00,428.57142857142867
22,2,2023-01-02 20:51:33.082526+00:00,2023-01-02,20,2023-01-02 20:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-02 21:24:53.082526+00:00,1714.2857142857147
23,0,2023-01-02 21:51:09.032581+00:00,2023-01-02,21,2023-01-02 21:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-02 22:24:29.032581+00:00,428.57142857142867
24,1,2023-01-03 00:51:11.688610+00:00,2023-01-03,0,2023-01-03 00:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-03 01:24:31.688610+00:00,857.1428571428573
25,3,2023-01-03 01:50:36.796484+00:00,2023-01-03,1,2023-01-03 01:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-03 02:23:56.796484+00:00,1285.714285714286
26,2,2023-01-03 04:51:10.797156+00:00,2023-01-03,4,2023-01-03 04:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-03 05:24:30.797156+00:00,857.1428571428573
27,0,2023-01-03 05:50:42.965062+00:00,2023-01-03,5,2023-01-03 05:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-03 06:24:02.965062+00:00,1285.714285714286
28,1,2023-01-03 08:50:47.618656+00:00,2023-01-03,8,2023-01-03 08:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-03 09:24:07.618656+00:00,1714.2857142857147
29,3,2023-01-03 09:51:26.577302+00:00,2023-01-03,9,2023-01-03 09:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-03 10:24:46.577302+00:00,428.57142857142867
30,2,2023-01-03 12:50:53.586297+00:00,2023-01-03,12,2023-01-03 12:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-03 13:24:13.586297+00:00,1714.2857142857147
31,0,2023-01-03 13:50:24.323718+00:00,2023-01-03,13,2023-01-03 13:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-03 14:23:44.323718+00:00,428.57142857142867
32,1,2023-01-03 16:51:05.510082+00:00,2023-01-03,16,2023-01-03 16:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-03 17:24:25.510082+00:00,857.1428571428573
33,3,2023-01-03 17:50:17.109955+00:00,2023-01-03,17,2023-01-03 17:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-03 18:23:37.109955+00:00,1285.714285714286
34,2,2023-01-03 20:51:17.952168+00:00,2023-01-03,20,2023-01-03 20:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-03 21:24:37.952168+00:00,857.1428571428573
35,0,2023-01-03 21:50:32.861888+00:00,2023-01-03,21,2023-01-03 21:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-03 22:23:52.861888+00:00,1285.714285714286
36,1,2023-01-04 00:50:52.388206+00:00,2023-01-04,0,2023-01-04 00:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-04 01:24:12.388206+00:00,1714.2857142857147
37,3,2023-01-04 01:50:30.549163+00:00,2023-01-04,1,2023-01-04 01:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-04 02:23:50.549163+00:00,428.57142857142867
38,2,2023-01-04 04:51:33.605404+00:00,2023-01-04,4,2023-01-04 04:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-04 05:24:53.605404+00:00,1714.2857142857147
39,0,2023-01-04 05:51:13.948723+00:00,2023-01-04,5,2023-01-04 05:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-04 06:24:33.948723+00:00,428.57142857142867
40,1,2023-01-04 08:50:46.800622+00:00,2023-01-04,8,2023-01-04 08:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-04 09:24:06.800622+00:00,857.1428571428573
41,3,2023-01-04 09:50:30.354202+00:00,2023-01-04,9,2023-01-04 09:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-04 10:23:50.354202+00:00,1285.714285714286
42,2,2023-01-04 12:50:51.422608+00:00,2023-01-04,12,2023-01-04 12:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-04 13:24:11.422608+00:00,857.1428571428573
43,0,2023-01-04 13:50:15.543525+00:00,2023-01-04,13,2023-01-04 13:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-04 14:23:35.543525+00:00,1285.714285714286
44,1,2023-01-04 16:51:23.488430+00:00,2023-01-04,16,2023-01-04 16:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-04 17:24:43.488430+00:00,1714.2857142857147
45,3,2023-01-04 17:50:26.418514+00:00,2023-01-04,17,2023-01-04 17:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-04 18:23:46.418514+00:00,428.57142857142867
46,2,2023-01-04 20:50:55.072635+00:00,2023-01-04,20,2023-01-04 20:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-04 21:24:15.072635+00:00,1714.2857142857147
47,0,2023-01-04 21:51:19.234003+00:00,2023-01-04,21,2023-01-04 21:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-04 22:24:39.234003+00:00,428.57142857142867
48,1,2023-01-05 00:51:51.477439+00:00,2023-01-05,0,2023-01-05 00:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-05 01:25:11.477439+00:00,857.1428571428573
49,3,2023-01-05 01:51:01.447657+00:00,2023-01-05,1,2023-01-05 01:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-05 02:24:21.447657+00:00,1285.714285714286
50,2,2023-01-05 04:50:54.785818+00:00,2023-01-05,4,2023-01-05 04:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-05 05:24:14.785818+00:00,857.1428571428573
51,0,2023-01-05 05:50:19.931512+00:00,2023-01-05,5,2023-01-05 05:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-05 06:23:39.931512+00:00,1285.714285714286
52,1,2023-01-05 08:50:59.489297+00:00,2023-01-05,8,2023-01-05 08:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-05 09:24:19.489297+00:00,1714.2857142857147
53,3,2023-01-05 09:51:11.544631+00:00,2023-01-05,9,2023-01-05 09:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-05 10:24:31.544631+00:00,428.57142857142867
54,2,2023-01-05 12:51:23.026630+00:00,2023-01-05,12,2023-01-05 12:00:00+00:00,20.0,80.0,60.0,52.57889999999998,2000,system,4,0.0,1714.2857142857147,20.0,17.526299999999996,2023-01-05 13:24:43.026630+00:00,1714.2857142857147
55,0,2023-01-05 13:51:00.325397+00:00,2023-01-05,13,2023-01-05 13:00:00+00:00,35.0,95.0,60.0,52.57889999999998,2000,system,4,0.0,428.57142857142867,5.0,4.381574999999999,2023-01-05 14:24:20.325397+00:00,428.57142857142867
56,1,2023-01-05 16:51:30.417706+00:00,2023-01-05,16,2023-01-05 16:00:00+00:00,30.0,90.0,60.0,52.57889999999998,2000,system,4,0.0,857.1428571428573,10.0,8.763149999999998,2023-01-05 17:24:50.417706+00:00,857.1428571428573
57,3,2023-01-05 17:51:07.057182+00:00,2023-01-05,17,2023-01-05 17:00:00+00:00,25.0,85.0,60.0,52.57889999999998,2000,system,4,0.0,1285.714285714286,15.0,13.144724999999996,2023-01-05 18:24:27.057182+00:00,1285.714285714286
