,0
city,my_city_1_1X5
data_source_id,my_data_source
sim_scenario_name,scenario_B1
save_history,True
history_to_file,True
exclude_sim_output_obj,False
exclude_geo_grid,False
exclude_events_files,False
exclude_resources_files,False
auto_plotting,True
year,2023
month_start,1
month_end,1
max_sim_hours,120
general_conf_id,0
year_energymix,2023
engine_type,gasoline
fuel_capacity,10
vehicle_efficiency,1
n_seats,5
vehicle_model_name,my_vehicle
vehicles_config_mode,vehicles_zones
vehicles_zones,"frozenset({(1, 1), (3, 3), (2, 2), (0, 0)})"
charging_config_mode,sim_config
n_workers,1
distributed_cps,True
system_cps,True
profile_type,
stations_placement_config_mode,n_charging_poles_by_zone
n_charging_poles_by_zone,"frozenset({(4, 4)})"
charging_strategy,reactive
charging_relocation_strategy,closest_queueing
charging_return_strategy,last_destination
queuing,True
alpha_policy,manual
alpha,50
beta,100
charging_duration,2000
battery_swap,False
avg_reach_time,0
avg_service_time,0
relocation,False
relocation_strategy,
relocation_technique,frozenset()
n_relocation_workers,1
avg_relocation_speed,20
relocation_capacity,1
relocation_profitability_check,False
relocation_vehicle_consumption,7
diesel_price,0.65
unlock_fee,1
rent_fee,0.15
avg_relocation_distance,1
avg_trip_duration,10
n_vehicles_sim,4
tot_n_charging_poles,0
n_charging_zones,0
demand_model_type,od_matrices
requests_rate_factor,1
vehicle_research_policy,zone
avg_speed_kmh_mean,1
max_duration,3000
fixed_driving_distance,1000
user_contribution_policy,
user_contribution,False
willingness,0
sim_duration,2678400.0
tot_potential_charging_energy,0.0
n_booking_reqs,480
n_bookings,360
n_same_zone_trips,360
n_not_same_zone_trips,0
n_no_close_vehicles,120
n_deaths,0
n_unsatisfied,120
fraction_satisfied,0.75
fraction_unsatisfied,0.25
fraction_same_zone_trips,0.75
fraction_not_same_zone_trips,0.0
fraction_no_close_vehicles,0.25
fraction_not_enough_energy,0.0
fraction_same_zone_trips_satisfied,1.0
fraction_not_same_zone_trips_satisfied,0.0
fraction_no_close_vehicles_unsatisfied,1.0
fraction_deaths_unsatisfied,0.0
n_charges,60
tot_mobility_distance,360000
tot_mobility_duration,1080000
cum_relo_ret_t,64285.714285714275
min_vehicles_relocated,inf
max_vehicles_relocated,-inf
avg_relocation_step_distance,NA
tot_vehicles_moved,0
sim_exec_time_sec,0.194439
n_charging_requests_system,60
n_charges_system,0
n_charges_users,0
n_charge_deaths,0
fraction_charge_deaths,0.0
soc_avg,75.15
soc_med,78.5
charging_time_avg,0.5555555555555556
charging_time_med,0.5555555555555556
n_charges_by_vehicle_avg,15.0
n_charges_by_vehicle_system_avg,15.0
n_charges_by_vehicle_users_avg,0
tot_potential_mobility_distance,480000
tot_potential_mobility_duration,1440000
tot_potential_welltotank_energy,757.1361599999996
tot_potential_tanktowheel_energy,3154.7339999999995
tot_potential_mobility_energy,3911.8701599999986
tot_potential_welltotank_co2_emissions,193.06972079999989
tot_potential_welltowheel_co2_emissions,833.696138697752
tot_potential_co2_emissions_kg,1026.7658594977518
tot_welltotank_energy,757.1361599999996
tot_tanktowheel_energy,3154.733999999999
tot_mobility_energy,3911.8701599999986
tot_welltotank_co2_emissions,193.06972079999989
tot_tanktowheel_co2_emissions,833.696138697752
tot_co2_emissions_kg,1026.7658594977515
tot_charging_energy,3136.3313849999986
tot_charging_return_distance,75000.0
fraction_charges_system,1.0
fraction_energy_system,1.0000000000000002
fraction_duration_system,1.0
fraction_charges_users,0
fraction_energy_users,0
fraction_duration_users,0
charging_duration_avg,2000.0
charging_energy_event_avg,52.272189749999974
charging_energy_event_max,52.57889999999998
charging_energy_event_med,52.57889999999998
cum_relo_out_t,0.0
cum_relo_t,64285.714285714275
cum_relo_khw,657.2362499999998
avg_hourly_relo_t,5357.142857142859
max_driving_distance,1000
percentage_satisfied,75.0
percentage_unsatisfied,25.0
percentage_same_zone_trips,75.0
percentage_not_same_zone_trips,0.0
percentage_no_close_vehicles,25.0
percentage_not_enough_energy,0.0
percentage_same_zone_trips_satisfied,100.0
percentage_not_same_zone_trips_satisfied,0.0
percentage_no_close_vehicles_unsatisfied,100.0
percentage_deaths_unsatisfied,0.0
percentage_charge_deaths,0.0
percentage_charges_system,100.0
percentage_energy_system,100.00000000000003
percentage_duration_system,100.0
percentage_charges_users,0
percentage_energy_users,0
percentage_duration_users,0
cars_cost,0.0
charging_infrastructure_cost,0
scenario_cost,0.0
relocation_cost,410.71428571428567
energy_cost,184.5
revenues,0.0
washing_cost,0.0
sim_cost,595.2142857142857
profit,-595.2142857142857
