,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id,soc_delta,welltotank_kwh,tanktowheel_kwh,soc_delta_kwh,welltotank_emissions,tanktowheel_emissions,co2_emissions,req_origin_id,req_destination_id,start_soc,plate,end_soc,end_hour
0,1,24.232994,2023-01-01 00:00:24.232994+00:00,2023-01-01,0,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 00:50:24.232994+00:00,0,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,55.0,1,45.0,0
1,0,29.730402,2023-01-01 01:01:34.616111+00:00,2023-01-01,1,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 01:51:34.616111+00:00,7,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,58.0,3,48.0,1
2,1,16.248568,2023-01-01 04:00:26.928620+00:00,2023-01-01,4,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 04:50:26.928620+00:00,16,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,57.0,2,47.0,4
3,0,23.013247,2023-01-01 05:00:37.452028+00:00,2023-01-01,5,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 05:50:37.452028+00:00,23,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,51.0,0,41.0,5
4,3,6.331196,2023-01-01 08:01:10.033818+00:00,2023-01-01,8,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 08:51:10.033818+00:00,34,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,1,40.0,8
5,2,10.870327,2023-01-01 09:01:05.957986+00:00,2023-01-01,9,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 09:51:05.957986+00:00,38,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,50.0,3,40.0,9
6,3,0.804936,2023-01-01 12:00:22.348865+00:00,2023-01-01,12,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 12:50:22.348865+00:00,50,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,2,40.0,12
7,2,10.228931,2023-01-01 13:00:44.572060+00:00,2023-01-01,13,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 13:50:44.572060+00:00,53,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,50.0,0,40.0,13
8,1,11.436972,2023-01-01 16:01:51.413505+00:00,2023-01-01,16,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 16:51:51.413505+00:00,67,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,50.0,1,40.0,16
9,0,18.333161,2023-01-01 17:01:21.537986+00:00,2023-01-01,17,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 17:51:21.537986+00:00,70,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,50.0,3,40.0,17
10,1,4.39576,2023-01-01 20:00:35.245855+00:00,2023-01-01,20,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 20:50:35.245855+00:00,80,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,50.0,2,40.0,20
11,0,6.835846,2023-01-01 21:00:16.625546+00:00,2023-01-01,21,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 21:50:16.625546+00:00,84,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,0,1,50.0,0,40.0,21
12,3,1.021463,2023-01-02 00:00:57.581635+00:00,2023-01-02,0,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 00:50:57.581635+00:00,96,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,1,40.0,0
13,2,4.926185,2023-01-02 01:01:14.519432+00:00,2023-01-02,1,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 01:51:14.519432+00:00,102,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,50.0,3,40.0,1
14,3,16.821208,2023-01-02 04:00:28.927279+00:00,2023-01-02,4,0,generic_day,3,0,1000,714.2857142857143,3000,2023-01-02 04:50:28.927279+00:00,112,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,3,0,50.0,2,40.0,4
15,2,22.429393,2023-01-02 05:00:22.935708+00:00,2023-01-02,5,0,generic_day,2,3,1000,714.2857142857143,3000,2023-01-02 05:50:22.935708+00:00,116,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,2,3,50.0,0,40.0,5
16,1,11.228592,2023-01-02 08:00:59.943087+00:00,2023-01-02,8,0,generic_day,1,2,1000,714.2857142857143,3000,2023-01-02 08:50:59.943087+00:00,128,10.0,2.1031559999999994,8.763149999999998,10.866305999999998,536.3047799999998,2315.8226074937547,2852.1273874937547,1,2,50.0,1,40.0,8
