,index,ia_timeout,start_time,date,hour,weekday,daytype,origin_id,destination_id,driving_distance,euclidean_distance,duration,end_time,req_id
0,2,18.537082,2023-01-01 01:01:03.176504+00:00,2023-01-01,1,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 01:51:03.176504+00:00,5
1,3,39.138223,2023-01-01 02:01:13.754334+00:00,2023-01-01,2,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 02:51:13.754334+00:00,8
2,1,3.63006,2023-01-01 02:01:31.273804+00:00,2023-01-01,2,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 02:51:31.273804+00:00,10
3,0,4.406035,2023-01-01 03:00:45.722627+00:00,2023-01-01,3,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 03:50:45.722627+00:00,13
4,2,0.81064,2023-01-01 05:00:14.438781+00:00,2023-01-01,5,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 05:50:14.438781+00:00,22
5,1,20.023751,2023-01-01 06:01:25.331948+00:00,2023-01-01,6,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 06:51:25.331948+00:00,25
6,3,0.616095,2023-01-01 06:01:25.948043+00:00,2023-01-01,6,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 06:51:25.948043+00:00,26
7,0,18.792473,2023-01-01 07:01:00.178075+00:00,2023-01-01,7,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 07:51:00.178075+00:00,29
8,0,35.545018,2023-01-01 09:00:55.087659+00:00,2023-01-01,9,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 09:50:55.087659+00:00,37
9,1,7.429437,2023-01-01 10:00:16.244796+00:00,2023-01-01,10,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 10:50:16.244796+00:00,40
10,3,29.002072,2023-01-01 10:01:07.888117+00:00,2023-01-01,10,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 10:51:07.888117+00:00,43
11,2,1.880705,2023-01-01 11:00:18.577961+00:00,2023-01-01,11,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 11:50:18.577961+00:00,45
12,0,6.621795,2023-01-01 13:00:34.343129+00:00,2023-01-01,13,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 13:50:34.343129+00:00,52
13,3,1.287527,2023-01-01 14:00:25.717951+00:00,2023-01-01,14,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 14:50:25.717951+00:00,57
14,1,10.506489,2023-01-01 14:01:13.862067+00:00,2023-01-01,14,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 14:51:13.862067+00:00,59
15,2,1.75986,2023-01-01 15:00:49.912647+00:00,2023-01-01,15,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 15:50:49.912647+00:00,62
16,2,2.077051,2023-01-01 17:00:53.490556+00:00,2023-01-01,17,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 17:50:53.490556+00:00,68
17,1,3.858795,2023-01-01 18:00:47.410611+00:00,2023-01-01,18,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 18:50:47.410611+00:00,72
18,3,0.215997,2023-01-01 18:01:14.234118+00:00,2023-01-01,18,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 18:51:14.234118+00:00,74
19,0,24.617645,2023-01-01 19:01:21.015279+00:00,2023-01-01,19,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 19:51:21.015279+00:00,78
20,2,20.324228,2023-01-01 21:00:51.455688+00:00,2023-01-01,21,6,generic_day,2,3,1000,714.2857142857143,3000,2023-01-01 21:50:51.455688+00:00,87
21,3,3.039726,2023-01-01 22:01:11.281110+00:00,2023-01-01,22,6,generic_day,3,0,1000,714.2857142857143,3000,2023-01-01 22:51:11.281110+00:00,89
22,1,16.531402,2023-01-01 22:01:33.704219+00:00,2023-01-01,22,6,generic_day,1,2,1000,714.2857142857143,3000,2023-01-01 22:51:33.704219+00:00,91
23,0,4.726606,2023-01-01 23:00:47.223703+00:00,2023-01-01,23,6,generic_day,0,1,1000,714.2857142857143,3000,2023-01-01 23:50:47.223703+00:00,93
24,0,21.374293,2023-01-02 01:01:35.893725+00:00,2023-01-02,1,0,generic_day,0,1,1000,714.2857142857143,3000,2023-01-02 01:51:35.893725+00:00,103
