,time,status,soc,zone,plate
0,2023-01-01 00:00:00+00:00,available,91.0,0,0
1,2023-01-01 00:00:36.945064+00:00,booked,91.0,0,0
2,2023-01-01 00:50:36.945064+00:00,available,81.0,1,0
3,2023-01-01 01:01:04.885709+00:00,booked,81.0,1,0
4,2023-01-01 01:51:04.885709+00:00,available,71.0,2,0
5,2023-01-01 03:00:41.316592+00:00,booked,71.0,2,0
6,2023-01-01 03:50:41.316592+00:00,available,61.0,3,0
7,2023-01-01 04:01:02.577838+00:00,booked,61.0,3,0
8,2023-01-01 04:51:02.577838+00:00,available,51.0,0,0
9,2023-01-01 05:00:37.452028+00:00,booked,51.0,0,0
10,2023-01-01 05:50:37.452028+00:00,available,41.0,1,0
11,2023-01-01 05:50:37.452028+00:00,charging,85.0,4,0
12,2023-01-01 06:23:57.452028+00:00,available,100.0,4,0
13,2023-01-01 07:01:08.339074+00:00,booked,100.0,4,0
14,2023-01-01 07:51:08.339074+00:00,available,90.0,2,0
15,2023-01-01 08:01:03.702622+00:00,booked,90.0,2,0
16,2023-01-01 08:51:03.702622+00:00,available,80.0,3,0
17,2023-01-01 09:00:19.542641+00:00,booked,80.0,3,0
18,2023-01-01 09:50:19.542641+00:00,available,70.0,0,0
19,2023-01-01 11:00:24.910166+00:00,booked,70.0,0,0
20,2023-01-01 11:50:24.910166+00:00,available,60.0,1,0
21,2023-01-01 12:00:20.958009+00:00,booked,60.0,1,0
22,2023-01-01 12:50:20.958009+00:00,available,50.0,2,0
23,2023-01-01 13:00:44.572060+00:00,booked,50.0,2,0
24,2023-01-01 13:50:44.572060+00:00,available,40.0,3,0
25,2023-01-01 13:50:44.572060+00:00,charging,95.0,4,0
26,2023-01-01 14:24:04.572060+00:00,available,100.0,4,0
27,2023-01-01 15:00:55.030058+00:00,booked,100.0,4,0
28,2023-01-01 15:50:55.030058+00:00,available,90.0,0,0
29,2023-01-01 16:01:33.343536+00:00,booked,90.0,0,0
30,2023-01-01 16:51:33.343536+00:00,available,80.0,1,0
31,2023-01-01 17:01:43.551816+00:00,booked,80.0,1,0
32,2023-01-01 17:51:43.551816+00:00,available,70.0,2,0
33,2023-01-01 19:01:30.850095+00:00,booked,70.0,2,0
34,2023-01-01 19:51:30.850095+00:00,available,60.0,3,0
35,2023-01-01 20:01:09.789700+00:00,booked,60.0,3,0
36,2023-01-01 20:51:09.789700+00:00,available,50.0,0,0
37,2023-01-01 21:00:16.625546+00:00,booked,50.0,0,0
38,2023-01-01 21:50:16.625546+00:00,available,40.0,1,0
39,2023-01-01 21:50:16.625546+00:00,charging,85.0,4,0
40,2023-01-01 22:23:36.625546+00:00,available,100.0,4,0
41,2023-01-01 23:00:53.172707+00:00,booked,100.0,4,0
42,2023-01-01 23:50:53.172707+00:00,available,90.0,2,0
43,2023-01-02 00:01:48.148310+00:00,booked,90.0,2,0
44,2023-01-02 00:51:48.148310+00:00,available,80.0,3,0
45,2023-01-02 01:01:09.593247+00:00,booked,80.0,3,0
46,2023-01-02 01:51:09.593247+00:00,available,70.0,0,0
47,2023-01-02 03:00:34.998275+00:00,booked,70.0,0,0
48,2023-01-02 03:50:34.998275+00:00,available,60.0,1,0
49,2023-01-02 04:01:00.506315+00:00,booked,60.0,1,0
50,2023-01-02 04:51:00.506315+00:00,available,50.0,2,0
51,2023-01-02 05:00:22.935708+00:00,booked,50.0,2,0
52,2023-01-02 05:50:22.935708+00:00,available,40.0,3,0
53,2023-01-02 05:50:22.935708+00:00,charging,95.0,4,0
54,2023-01-02 06:23:42.935708+00:00,available,100.0,4,0
55,2023-01-02 07:01:10.453095+00:00,booked,100.0,4,0
56,2023-01-02 07:51:10.453095+00:00,available,90.0,0,0
57,2023-01-02 08:01:16.174158+00:00,booked,90.0,0,0
58,2023-01-02 08:51:16.174158+00:00,available,80.0,1,0
59,2023-01-02 09:01:01.670889+00:00,booked,80.0,1,0
60,2023-01-02 09:51:01.670889+00:00,available,70.0,2,0
61,2023-01-02 11:01:26.672813+00:00,booked,70.0,2,0
62,2023-01-02 11:51:26.672813+00:00,available,60.0,3,0
63,2023-01-02 12:01:15.384019+00:00,booked,60.0,3,0
64,2023-01-02 12:51:15.384019+00:00,available,50.0,0,0
65,2023-01-02 13:00:56.401086+00:00,booked,50.0,0,0
66,2023-01-02 13:50:56.401086+00:00,available,40.0,1,0
67,2023-01-02 13:50:56.401086+00:00,charging,85.0,4,0
68,2023-01-02 14:24:16.401086+00:00,available,100.0,4,0
69,2023-01-02 15:00:50.102470+00:00,booked,100.0,4,0
70,2023-01-02 15:50:50.102470+00:00,available,90.0,2,0
71,2023-01-02 16:01:21.155572+00:00,booked,90.0,2,0
72,2023-01-02 16:51:21.155572+00:00,available,80.0,3,0
73,2023-01-02 17:00:54.360732+00:00,booked,80.0,3,0
74,2023-01-02 17:50:54.360732+00:00,available,70.0,0,0
75,2023-01-02 19:00:55.646261+00:00,booked,70.0,0,0
76,2023-01-02 19:50:55.646261+00:00,available,60.0,1,0
77,2023-01-02 20:01:06.282829+00:00,booked,60.0,1,0
78,2023-01-02 20:51:06.282829+00:00,available,50.0,2,0
79,2023-01-02 21:01:09.032581+00:00,booked,50.0,2,0
80,2023-01-02 21:51:09.032581+00:00,available,40.0,3,0
81,2023-01-02 21:51:09.032581+00:00,charging,95.0,4,0
82,2023-01-02 22:24:29.032581+00:00,available,100.0,4,0
83,2023-01-02 23:01:15.655542+00:00,booked,100.0,4,0
84,2023-01-02 23:51:15.655542+00:00,available,90.0,0,0
85,2023-01-03 00:00:53.642396+00:00,booked,90.0,0,0
86,2023-01-03 00:50:53.642396+00:00,available,80.0,1,0
87,2023-01-03 01:00:56.502733+00:00,booked,80.0,1,0
88,2023-01-03 01:50:56.502733+00:00,available,70.0,2,0
89,2023-01-03 03:01:44.892986+00:00,booked,70.0,2,0
90,2023-01-03 03:51:44.892986+00:00,available,60.0,3,0
91,2023-01-03 04:01:21.497175+00:00,booked,60.0,3,0
92,2023-01-03 04:51:21.497175+00:00,available,50.0,0,0
93,2023-01-03 05:00:42.965062+00:00,booked,50.0,0,0
