,lambda,percentage_unsatisfied,n_vehicles_sim
0,1.0,0.0,2
1,2.0,0.0,3
2,1.0,0.0,3
3,2.0,0.0,2
4,2.0,50.0,1
5,1.0,0.0,4
6,2.0,0.0,4
7,1.0,0.0,1
8,3.0,66.66666666666667,1
9,3.0,0.0,3
10,4.0,25.0,3
11,4.0,50.0,2
12,3.0,33.333333333333336,2
13,3.0,0.0,4
14,4.0,75.0,1
15,4.0,0.0,4
16,5.0,80.0,1
17,5.0,40.0,3
18,5.0,60.0,2
19,5.0,20.0,4
20,6.0,66.66666666666667,2
21,6.0,50.0,3
22,6.0,33.333333333333336,4
23,6.0,83.33333333333334,1
24,7.0,85.71428571428572,1
25,7.0,71.42857142857143,2
26,7.0,42.85714285714286,4
27,7.0,57.14285714285714,3
28,8.0,87.5,1
29,8.0,62.5,3
30,8.0,50.0,4
31,8.0,75.0,2
