,lambda,percentage_unsatisfied,n_vehicles_sim
0,2,87.5,1
1,1,75.0,1
2,1,50.0,2
3,1,0.0,4
4,1,25.0,3
5,2,75.0,2
6,2,50.0,4
7,2,62.5,3
8,3,91.66666666666666,1
9,3,83.33333333333334,2
10,3,75.0,3
11,4,87.5,2
12,4,75.0,4
13,3,66.66666666666667,4
14,4,81.25,3
15,4,93.75,1
16,5,85.0,3
17,5,90.0,2
18,5,95.0,1
19,5,80.0,4
20,6,95.83333333333334,1
21,6,83.33333333333334,4
22,6,91.66666666666666,2
23,6,87.5,3
24,7,96.42857142857144,1
25,7,92.85714285714286,2
26,7,89.28571428571429,3
27,8,90.625,3
28,8,96.875,1
29,7,85.71428571428572,4
30,8,93.75,2
31,8,87.5,4
